SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,4939 SANDSHORE Ct,San Diego,CA,92130,1325000,5,3.0,Carmel Valley,3090,7815,1994,6,Garage,22,Active,,,,2016-05-19,13250000,1994-02-17,427000.0,http://www.redfin.com/CA/San-Diego/4939-Sandshore-Ct-92130/home/4479438,San Diego County's Regional Multiple Listing Service (SANDICOR),160027091,Coldwell Banker Res. Brokerage,N,Y,32.948909,-117.210791,false
MLS Listing,Single Family Residential,10882 Cadence Isle Ct (Unable to map),San Diego,CA,92130,2550000,6,5.0,Carmel Valley,5288,28314,2016,5,Garage,50,Active,,,,,2550000,,,http://www.redfin.com/CA/San-Diego/10882-Cadence-Isle-Ct-92130/home/105068076,San Diego County's Regional Multiple Listing Service (SANDICOR),160021020,Berkshire Hathaway HomeService,N,Y,,,false
MLS Listing,Single Family Residential,12446 Del Vino,San Diego,CA,92130,3275000,6,7.0,Carmel Valley,6304,57499,2006,6,Garage,67,Active,,,,,3275000,2002-05-31,1050000.0,http://www.redfin.com/CA/San-Diego/12446-Del-Vino-Ct-92130/home/4520974,San Diego County's Regional Multiple Listing Service (SANDICOR),160017639,Pacific Sotheby's Int'l Realty,N,Y,32.942303,-117.183118,false
MLS Listing,Single Family Residential,5653 Meadows Del Mar,San Diego,CA,92130,2650000,4,5.0,Carmel Valley,5384,13283,2006,6,Garage,101,Active,,,,2016-05-13,2999000,2004-01-14,880000.0,http://www.redfin.com/CA/San-Diego/5653-Meadows-Del-Mar-92130/home/4526450,San Diego County's Regional Multiple Listing Service (SANDICOR),160010835,Pacific Sotheby's Int'l Realty,N,Y,32.936428,-117.18751,false
MLS Listing,Townhouse,12507 El Camino Real Unit A,San Diego,CA,92130,750000,3,3.0,Carmel Valley,1584,,1998,2,Garage,69,Active,,,,,750000,2003-10-22,487000.0,http://www.redfin.com/CA/San-Diego/12507-El-Camino-Real-92130/unit-A/home/4515861,San Diego County's Regional Multiple Listing Service (SANDICOR),160017320,Keller Williams Carmel Valley,N,Y,32.946,-117.237746,false
New Construction Home,Single Family Residential,6710 Azul Luna Way,San Diego,CA,92130,1007000,4,3.0,Verana,2645,,2015,2,Garage,314,Active,,,,2016-02-04,1031051,,,http://www.redfin.com/CA/San-Diego/6710-Azul-Luna-Way-92130/home/103656607,Builder Digital eXperience (BDX),1158169,NewHomeSource.com,N,Y,32.965194,-117.176861,false
MLS Listing,Vacant Land,6957 The Preserve Way,San Diego,CA,92130,895000,0,,Carmel Valley,,23958,,0,,244,Active,,,,2016-05-09,950000,,,http://www.redfin.com/CA/San-Diego/6957-The-Preserve-Way-92130/home/101651780,San Diego County's Regional Multiple Listing Service (SANDICOR),150054943,Pacific Sotheby's Int'l Realty,N,Y,32.9421544,-117.1724663,false
MLS Listing,Vacant Land,6979 The Preserve Way,San Diego,CA,92130,925000,0,,Carmel Valley,,26267,,0,,52,Active,,,,2016-05-09,975000,,,http://www.redfin.com/CA/San-Diego/6979-The-Preserve-Way-92130/home/104521809,San Diego County's Regional Multiple Listing Service (SANDICOR),160020711,Pacific Sotheby's Int'l Realty,N,Y,32.9421541,-117.1724662,false
MLS Listing,Single Family Residential,13466 Landfair Rd,San Diego,CA,92130,2499000,4,5.0,Carmel Valley,3700,8799,1991,6,Garage,125,Active,,,,,2499000,2001-03-23,1400000.0,http://www.redfin.com/CA/San-Diego/13466-Landfair-Rd-92130/home/4459748,San Diego County's Regional Multiple Listing Service (SANDICOR),160006320,Coldwell Banker Res. Brokerage,N,Y,32.961502,-117.23854,false
MLS Listing,Single Family Residential,5418 Harvest Run,San Diego,CA,92130,2150000,6,6.0,East del Mar,4687,14360,2001,6,Garage,42,Active,,,,,2150000,2003-07-18,1300000.0,http://www.redfin.com/CA/San-Diego/5418-Harvest-Run-Dr-92130/home/6315554,San Diego County's Regional Multiple Listing Service (SANDICOR),160022864,Golden Eagle Properties,N,Y,32.924357,-117.201259,false
MLS Listing,Vacant Land,6153 Del Mar Mesa Rd,San Diego,CA,92130,950000,0,,Carmel Valley,,43560,,0,,66,Active,,,,2016-05-09,1200000,,,http://www.redfin.com/CA/San-Diego/6153-Del-Mar-Mesa-Rd-92130/home/62062776,San Diego County's Regional Multiple Listing Service (SANDICOR),160017737,David Santistevan,N,Y,32.9421608,-117.1881053,false
MLS Listing,Vacant Land,7012 The Preserve Way,San Diego,CA,92130,1375000,0,,Carmel Valley,,24394,,0,,52,Active,,,,2016-05-09,1450000,,,http://www.redfin.com/CA/San-Diego/7012-The-Preserve-Way-92130/unit-13/home/40945911,San Diego County's Regional Multiple Listing Service (SANDICOR),160020712,Pacific Sotheby's Int'l Realty,N,Y,32.9435674,-117.1712899,false
MLS Listing,Vacant Land,6916 The Preserve Ct (Unable to map),San Diego,CA,92130,1550000,0,,Carmel Valley,,34412,,0,,52,Active,,,,2016-05-09,1650000,,,http://www.redfin.com/CA/San-Diego/6916-The-Preserve-Ct-92130/home/104521810,San Diego County's Regional Multiple Listing Service (SANDICOR),160020713,Pacific Sotheby's Int'l Realty,N,Y,,,false
MLS Listing,Townhouse,12685 Camino Mira Del Mar #151,San Diego,CA,92130,439900,2,2.0,Carmel Valley,864,615509,1990,1,,35,Active,,,,,439900,2005-07-26,420000.0,http://www.redfin.com/CA/San-Diego/12685-Camino-Mira-Del-Mar-92130/unit-151/home/7493817,San Diego County's Regional Multiple Listing Service (SANDICOR),160024510,Town & Country Real Estate,N,Y,32.943451,-117.231009,false
MLS Listing,Condo/Coop,12685 Camino Mira Del Mar #158,San Diego,CA,92130,429000,2,2.0,East del Mar,950,615509,1990,1,,28,Active,,,,,429000,2004-03-18,328000.0,http://www.redfin.com/CA/San-Diego/12685-Camino-Mira-Del-Mar-92130/unit-158/home/7497791,San Diego County's Regional Multiple Listing Service (SANDICOR),160025810,Klassen Real Estate,N,Y,32.943451,-117.231009,false
MLS Listing,Single Family Residential,3778 Ruette San Raphael,San Diego,CA,92130,930000,4,3.0,Carmel Valley,2734,,2000,4,Garage,28,Active,,,,2016-05-31,989900,2001-08-29,555000.0,http://www.redfin.com/CA/San-Diego/3778-Ruette-San-Raphael-92130/home/6397175,San Diego County's Regional Multiple Listing Service (SANDICOR),160025748,American Real Estate Group,N,Y,32.9254419,-117.231013,false
MLS Listing,Condo/Coop,12580 Carmel Crk #47,San Diego,CA,92130,439900,2,2.0,Carmel Valley,950,615509,1990,2,Garage,23,Active,,,,,439900,,,http://www.redfin.com/CA/San-Diego/12580-Carmel-Creek-Rd-92130/unit-47/home/7492766,San Diego County's Regional Multiple Listing Service (SANDICOR),160026876,Tri-Star Realty,N,Y,32.9438932,-117.2318181,false
